
Gurobi 9.5.2 (win64) logging started Tue Mar 28 01:17:06 2023

Set parameter LogFile to value "2023-03-27_20hr-25min-09sec/Nodes40_Arcs55_LocNodes30/Formulation-1Instance-4.log"
Set parameter TimeLimit to value 600
Set parameter IntFeasTol to value 1e-09
Set parameter DualReductions to value 0
Set parameter NonConvex to value 2
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 166 rows, 290 columns and 610 nonzeros
Model fingerprint: 0x91edbf14
Model has 30 quadratic objective terms
Model has 95 SOS constraints
Variable types: 260 continuous, 30 integer (30 binary)
Coefficient statistics:
  Matrix range     [1e-02, 2e+02]
  Objective range  [3e+00, 2e+02]
  QObjective range [2e+00, 2e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [3e-02, 3e+03]
Presolve removed 9 rows and 13 columns
Presolve time: 0.00s
Presolved: 216 rows, 308 columns, 727 nonzeros
Presolved model has 87 SOS constraint(s)
Presolved model has 29 bilinear constraint(s)
Variable types: 278 continuous, 30 integer (30 binary)

Root relaxation: unbounded, 140 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 990275  2915  postponed   54      -13862.288          -      -  10.8  390s
 1004011  2852  postponed   55      -13862.288          -      -  10.8  395s
 1018700  2807  postponed   56      -13862.288          -      -  10.7  400s
 1032711  2794  postponed   55      -13862.288          -      -  10.7  405s
 1046131  2852  postponed   56      -13862.288          -      -  10.6  410s
 1058503  2837  postponed   49      -13862.288          -      -  10.6  415s
 1071480  2771  postponed   51      -13862.288          -      -  10.6  420s
 1083135  2747  postponed   49      -13862.288          -      -  10.6  425s
 1097675  2760  postponed   56      -13862.288          -      -  10.6  430s
 1111022  2683  postponed   47      -13862.288          -      -  10.6  435s
 1125927  2862  postponed   44      -13862.288          -      -  10.5  440s
 1140983  3286 infeasible   55      -13862.288          -      -  10.5  445s
 1155549  3692  postponed   52      -13862.288          -      -  10.5  450s
 1170360  3908  postponed   57      -13862.288          -      -  10.4  455s
 1185254  4055 infeasible   59      -13862.288          -      -  10.4  460s
 1201090  4109  postponed   55      -13862.288          -      -  10.3  465s
 1220714  3971  postponed   51      -13862.288          -      -  10.2  470s
 1237023  3939  postponed   55      -13862.288          -      -  10.2  475s
 1252857  3873  postponed   53      -13862.288          -      -  10.1  480s
 1272820  3873 infeasible   59      -13862.288          -      -  10.1  485s
 1288812  3827 infeasible   59      -13862.288          -      -  10.0  490s
 1304561  3804  postponed   53      -13862.288          -      -  10.0  495s
 1320134  3755  postponed   44      -13862.288          -      -   9.9  500s
 1335817  3662  postponed   55      -13862.288          -      -   9.9  505s
 1353320  3756 infeasible   52      -13862.288          -      -   9.9  510s
 1366921  3918  postponed   54      -13862.288          -      -   9.8  515s
 1381002  4241 infeasible   56      -13862.288          -      -   9.8  520s
 1396142  4295  postponed   55      -13862.288          -      -   9.8  525s
 1410712  4182 infeasible   45      -13862.288          -      -   9.7  530s
 1425280  4054 infeasible   52      -13862.288          -      -   9.7  535s
 1439551  3965 infeasible   56      -13862.288          -      -   9.7  540s
 1457939  3836 infeasible   56      -13862.288          -      -   9.6  545s
 1472559  3868 infeasible   52      -13862.288          -      -   9.6  550s
 1486332  3961  postponed   50      -13862.288          -      -   9.6  555s
 1499340  4138 infeasible   56      -13862.288          -      -   9.6  560s
 1513583  4088  postponed   51      -13862.288          -      -   9.5  565s
 1525553  4017  postponed   50      -13862.288          -      -   9.5  570s
 1537603  3873 infeasible   50      -13862.288          -      -   9.5  575s
 1550864  3850  postponed   55      -13862.288          -      -   9.5  580s
 1563331  3796  postponed   52      -13862.288          -      -   9.5  585s
 1575677  3844 infeasible   50      -13862.288          -      -   9.5  590s
 1587637  3915  postponed   51      -13862.288          -      -   9.4  595s
 1600033  3993 infeasible   47      -13862.288          -      -   9.4  600s

Explored 1601344 nodes (15094529 simplex iterations) in 600.03 seconds (117.10 work units)
Thread count was 8 (of 8 available processors)

Solution count 1: -13862.3 

Time limit reached
Best objective 4.655781836548e+05, best bound -, gap -

User-callback calls 3205308, time in user-callback 31.90 sec
