
Gurobi 9.5.2 (win64) logging started Tue Mar 28 01:27:28 2023

Set parameter LogFile to value "2023-03-27_20hr-25min-09sec/Nodes40_Arcs55_LocNodes30/Formulation-1Instance-5.log"
Set parameter TimeLimit to value 600
Set parameter IntFeasTol to value 1e-09
Set parameter DualReductions to value 0
Set parameter NonConvex to value 2
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 166 rows, 290 columns and 610 nonzeros
Model fingerprint: 0xcf91a867
Model has 30 quadratic objective terms
Model has 95 SOS constraints
Variable types: 260 continuous, 30 integer (30 binary)
Coefficient statistics:
  Matrix range     [5e-03, 2e+02]
  Objective range  [3e+00, 2e+02]
  QObjective range [2e+00, 2e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-01, 3e+03]
Presolve removed 5 rows and 8 columns
Presolve time: 0.00s
Presolved: 222 rows, 314 columns, 745 nonzeros
Presolved model has 89 SOS constraint(s)
Presolved model has 30 bilinear constraint(s)
Variable types: 284 continuous, 30 integer (30 binary)

Root relaxation: unbounded, 149 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 1072504  1454 infeasible   43      -11051.983          -      -   8.4  385s
 1087038  1297  postponed   50      -11051.983          -      -   8.4  390s
 1101627  1364  postponed   52      -11051.983          -      -   8.4  395s
 1117788  1281 infeasible   56      -11051.983          -      -   8.4  400s
 1133843  1210 infeasible   49      -11051.983          -      -   8.4  405s
 1148120  1633  postponed   57      -11051.983          -      -   8.4  410s
 1162345  1922  postponed   54      -11051.983          -      -   8.4  415s
 1176585  2201  postponed   53      -11051.983          -      -   8.4  420s
 1189791  2279  postponed   61      -11051.983          -      -   8.4  425s
 1201965  2198  postponed   60      -11051.983          -      -   8.4  430s
 1216377  2078 infeasible   52      -11051.983          -      -   8.4  435s
 1232460  1999  postponed   56      -11051.983          -      -   8.4  440s
 1247029  2003 infeasible   57      -11051.983          -      -   8.4  445s
 1261467  2086  postponed   54      -11051.983          -      -   8.4  450s
 1275815  1988  postponed   56      -11051.983          -      -   8.4  455s
 1290053  1952  postponed   55      -11051.983          -      -   8.5  460s
 1303321  2003  postponed   56      -11051.983          -      -   8.5  465s
 1320404  2051 infeasible   57      -11051.983          -      -   8.5  470s
 1333876  1968 infeasible   53      -11051.983          -      -   8.5  475s
 1348328  1947  postponed   56      -11051.983          -      -   8.5  480s
 1361927  1942  postponed   57      -11051.983          -      -   8.5  485s
 1375617  2017  postponed   56      -11051.983          -      -   8.5  490s
 1388932  2051  postponed   53      -11051.983          -      -   8.5  495s
 1403564  2033 infeasible   57      -11051.983          -      -   8.5  500s
 1419129  1758 infeasible   57      -11051.983          -      -   8.5  505s
 1435934  1878 infeasible   54      -11051.983          -      -   8.5  510s
 1450491  1755 infeasible   49      -11051.983          -      -   8.5  515s
 1463912  1732  postponed   57      -11051.983          -      -   8.5  520s
 1478123  1722  postponed   61      -11051.983          -      -   8.5  525s
 1492542  1845  postponed   54      -11051.983          -      -   8.5  530s
 1507437  1731 infeasible   57      -11051.983          -      -   8.5  535s
 1521808  1673  postponed   55      -11051.983          -      -   8.5  540s
 1534817  1817 infeasible   45      -11051.983          -      -   8.5  545s
 1546764  1795  postponed   61      -11051.983          -      -   8.5  550s
 1560236  1700  postponed   58      -11051.983          -      -   8.5  555s
 1574064  1611 infeasible   57      -11051.983          -      -   8.5  560s
 1591989  1831  postponed   61      -11051.983          -      -   8.5  565s
 1606901  1979 infeasible   58      -11051.983          -      -   8.5  570s
 1620178  1990  postponed   62      -11051.983          -      -   8.5  575s
 1634658  1930  postponed   42      -11051.983          -      -   8.5  580s
 1649155  2067  postponed   56      -11051.983          -      -   8.5  585s
 1664016  2174 infeasible   48      -11051.983          -      -   8.5  590s
 1677598  2124 infeasible   57      -11051.983          -      -   8.5  595s
 1696168  1942  postponed   50      -11051.983          -      -   8.4  600s

Explored 1697156 nodes (14309563 simplex iterations) in 600.03 seconds (101.39 work units)
Thread count was 8 (of 8 available processors)

Solution count 2: -11052 -13075 

Time limit reached
Best objective 3.897227426368e+05, best bound -, gap -

User-callback calls 3397328, time in user-callback 33.51 sec
