
Gurobi 9.5.2 (win64) logging started Tue Mar 28 01:06:57 2023

Set parameter LogFile to value "2023-03-27_20hr-25min-09sec/Nodes40_Arcs55_LocNodes30/Formulation-1Instance-3.log"
Set parameter TimeLimit to value 600
Set parameter IntFeasTol to value 1e-09
Set parameter DualReductions to value 0
Set parameter NonConvex to value 2
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 166 rows, 290 columns and 610 nonzeros
Model fingerprint: 0x2daa2a81
Model has 30 quadratic objective terms
Model has 95 SOS constraints
Variable types: 260 continuous, 30 integer (30 binary)
Coefficient statistics:
  Matrix range     [1e-02, 2e+02]
  Objective range  [3e+00, 2e+02]
  QObjective range [2e+00, 2e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-01, 3e+03]
Presolve removed 1 rows and 2 columns
Presolve time: 0.00s
Presolved: 226 rows, 320 columns, 761 nonzeros
Presolved model has 93 SOS constraint(s)
Presolved model has 30 bilinear constraint(s)
Variable types: 290 continuous, 30 integer (30 binary)

Root relaxation: unbounded, 148 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 681447  5945  postponed   65      -12602.234          -      -  34.4  390s
 689625  5868 infeasible   53      -12602.234          -      -  34.5  395s
 698056  5798  postponed   67      -12602.234          -      -  34.6  400s
 705138  5785 infeasible   58      -12602.234          -      -  34.6  405s
 713845  5689  postponed   65      -12602.234          -      -  34.6  410s
 722210  5610 infeasible   68      -12602.234          -      -  34.7  415s
 731867  5680 infeasible   68      -12602.234          -      -  34.7  420s
 740301  5643  postponed   65      -12602.234          -      -  34.7  425s
 749854  5615 infeasible   66      -12602.234          -      -  34.8  430s
 758414  5622  postponed   67      -12602.234          -      -  34.8  435s
 767906  5586  postponed   60      -12602.234          -      -  34.8  440s
 776445  5585  postponed   65      -12602.234          -      -  34.8  445s
 786034  5514  postponed   59      -12602.234          -      -  34.8  450s
 795433  5470 infeasible   68      -12602.234          -      -  34.9  455s
 802591  5531  postponed   63      -12602.234          -      -  34.9  460s
 810976  5451  postponed   65      -12602.234          -      -  34.9  465s
 820462  5391 infeasible   68      -12602.234          -      -  34.9  470s
 828700  5433 infeasible   67      -12602.234          -      -  35.0  475s
 837016  5495 infeasible   67      -12602.234          -      -  35.0  480s
 845363  5448 infeasible   68      -12602.234          -      -  35.1  485s
 853714  5324 infeasible   68      -12602.234          -      -  35.1  490s
 863260  5322  postponed   65      -12602.234          -      -  35.2  495s
 871838  5345  postponed   66      -12602.234          -      -  35.2  500s
 881422  5293  postponed   64      -12602.234          -      -  35.2  505s
 889842  5312  postponed   65      -12602.234          -      -  35.2  510s
 899479  5270  postponed   64      -12602.234          -      -  35.2  515s
 906725  5221  postponed   65      -12602.234          -      -  35.3  520s
 915045  5268 infeasible   67      -12602.234          -      -  35.3  525s
 923365  5274 infeasible   68      -12602.234          -      -  35.3  530s
 933063  5197  postponed   66      -12602.234          -      -  35.3  535s
 941294  5194  postponed   62      -12602.234          -      -  35.3  540s
 949715  5232 infeasible   66      -12602.234          -      -  35.4  545s
 959291  5290  postponed   62      -12602.234          -      -  35.4  550s
 967780  5388 infeasible   58      -12602.234          -      -  35.4  555s
 977413  5438  postponed   65      -12602.234          -      -  35.4  560s
 987024  5419  postponed   63      -12602.234          -      -  35.4  565s
 995381  5341 infeasible   66      -12602.234          -      -  35.4  570s
 1004926  5284  postponed   62      -12602.234          -      -  35.5  575s
 1013263  5249 infeasible   66      -12602.234          -      -  35.5  580s
 1020487  5151 infeasible   48      -12602.234          -      -  35.5  585s
 1030065  5136  postponed   65      -12602.234          -      -  35.5  590s
 1038325  5107  postponed   65      -12602.234          -      -  35.5  595s
 1047913  5152  postponed   59      -12602.234          -      -  35.5  600s

Explored 1048420 nodes (37255913 simplex iterations) in 600.01 seconds (159.34 work units)
Thread count was 8 (of 8 available processors)

Solution count 1: -12602.2 

Time limit reached
Best objective 5.557810759982e+05, best bound -, gap -

User-callback calls 2099440, time in user-callback 21.10 sec
