
Gurobi 9.5.2 (win64) logging started Tue Mar 28 00:56:46 2023

Set parameter LogFile to value "2023-03-27_20hr-25min-09sec/Nodes40_Arcs55_LocNodes30/Formulation-1Instance-2.log"
Set parameter TimeLimit to value 600
Set parameter IntFeasTol to value 1e-09
Set parameter DualReductions to value 0
Set parameter NonConvex to value 2
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 166 rows, 290 columns and 610 nonzeros
Model fingerprint: 0x1f8de0f9
Model has 30 quadratic objective terms
Model has 95 SOS constraints
Variable types: 260 continuous, 30 integer (30 binary)
Coefficient statistics:
  Matrix range     [2e-02, 2e+02]
  Objective range  [3e+00, 2e+02]
  QObjective range [2e+00, 2e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [4e-06, 3e+03]
Presolve time: 0.00s
Presolved: 227 rows, 322 columns, 765 nonzeros
Presolved model has 95 SOS constraint(s)
Presolved model has 30 bilinear constraint(s)
Variable types: 292 continuous, 30 integer (30 binary)

Root relaxation: unbounded, 173 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0  postponed    0               -          -      -     -    0s
     0     0  postponed    0               -          -      -     -    0s
Exploring 100 nodes in MinRel heuristic
No solution found by MinRel heuristic
     0     2  postponed    0               -          -      -     -    0s
Exploring 10000 nodes in MinRel heuristic
H 1108   668                    -15432.36793          -      -  38.3    1s
Feasible solution found by MinRel heuristic at node 2263
 905269  7923 infeasible   69      -15432.368          -      -  14.6  395s
 916227  7888  postponed   67      -15432.368          -      -  14.5  400s
 926721  7815 infeasible   62      -15432.368          -      -  14.5  405s
 936330  7846 infeasible   68      -15432.368          -      -  14.6  410s
 948411  7862 infeasible   69      -15432.368          -      -  14.5  415s
 959188  7856 infeasible   69      -15432.368          -      -  14.6  420s
 968647  7861  postponed   63      -15432.368          -      -  14.6  425s
 979457  7861 infeasible   69      -15432.368          -      -  14.6  430s
 990515  7796  postponed   67      -15432.368          -      -  14.6  435s
 1001491  7755  postponed   68      -15432.368          -      -  14.6  440s
 1012689  7742  postponed   65      -15432.368          -      -  14.6  445s
 1025395  7769  postponed   68      -15432.368          -      -  14.6  450s
 1037392  7783  postponed   68      -15432.368          -      -  14.5  455s
 1048040  7818  postponed   59      -15432.368          -      -  14.5  460s
 1061853  8012 infeasible   66      -15432.368          -      -  14.5  465s
 1073931  8074 infeasible   66      -15432.368          -      -  14.5  470s
 1084742  8113  postponed   63      -15432.368          -      -  14.5  475s
 1096749  8002 infeasible   65      -15432.368          -      -  14.4  480s
 1109264  7930  postponed   64      -15432.368          -      -  14.4  485s
 1120923  7816 infeasible   67      -15432.368          -      -  14.4  490s
 1132867  7751  postponed   66      -15432.368          -      -  14.3  495s
 1144575  7715 infeasible   67      -15432.368          -      -  14.3  500s
 1156169  8050  postponed   66      -15432.368          -      -  14.3  505s
 1169584  8479 infeasible   66      -15432.368          -      -  14.3  510s
 1181252  8785 infeasible   67      -15432.368          -      -  14.2  515s
 1193464  9041 infeasible   67      -15432.368          -      -  14.2  520s
