
Gurobi 9.5.2 (win64) logging started Tue Mar 28 02:18:30 2023

Set parameter LogFile to value "2023-03-27_20hr-25min-09sec/Nodes40_Arcs65_LocNodes30/Formulation-1Instance-5.log"
Set parameter TimeLimit to value 600
Set parameter IntFeasTol to value 1e-09
Set parameter DualReductions to value 0
Set parameter NonConvex to value 2
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 176 rows, 310 columns and 670 nonzeros
Model fingerprint: 0x7bf6d644
Model has 30 quadratic objective terms
Model has 105 SOS constraints
Variable types: 280 continuous, 30 integer (30 binary)
Coefficient statistics:
  Matrix range     [5e-03, 2e+02]
  Objective range  [3e+00, 2e+02]
  QObjective range [2e+00, 2e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-01, 3e+03]
Presolve removed 5 rows and 9 columns
Presolve time: 0.00s
Presolved: 232 rows, 333 columns, 798 nonzeros
Presolved model has 98 SOS constraint(s)
Presolved model has 30 bilinear constraint(s)
Variable types: 303 continuous, 30 integer (30 binary)

Root relaxation: unbounded, 148 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0  postponed    0               -          -      -     -    0s
     0     0  postponed    0               -          -      -     -    0s
Exploring 100 nodes in MinRel heuristic
No solution found by MinRel heuristic
     0     2  postponed    0               -          -      -     -    0s
Exploring 10000 nodes in MinRel heuristic
MinRel: 4374 nodes explored, relaxation 2.87e+01, total elapsed time 5s
H 4203   728                    -10254.69299          -      -  42.4    5s
Feasible solution found by MinRel heuristic at node 5014
 630328  3533 infeasible   66      -10254.693          -      -  33.2  390s
 637970  3497 infeasible   69      -10254.693          -      -  33.4  395s
 645051  3355  postponed   63      -10254.693          -      -  33.4  400s
 652600  3316  postponed   71      -10254.693          -      -  33.5  405s
 659751  3288  postponed   70      -10254.693          -      -  33.5  410s
 669391  3348 infeasible   65      -10254.693          -      -  33.6  415s
 676256  3358 infeasible   57      -10254.693          -      -  33.6  420s
 681953  3276  postponed   68      -10254.693          -      -  33.7  425s
 689403  3283  postponed   57      -10254.693          -      -  33.8  430s
 695314  3246  postponed   68      -10254.693          -      -  33.8  435s
 703096  3207  postponed   56      -10254.693          -      -  33.9  440s
 710313  3165 infeasible   59      -10254.693          -      -  33.9  445s
 718952  3302 infeasible   57      -10254.693          -      -  33.8  450s
 727798  3411  postponed   66      -10254.693          -      -  33.8  455s
 736497  3381  postponed   61      -10254.693          -      -  33.7  460s
 744629  3466  postponed   68      -10254.693          -      -  33.6  465s
 753050  3433 infeasible   69      -10254.693          -      -  33.6  470s
 760991  3506 infeasible   69      -10254.693          -      -  33.6  475s
 769443  3386  postponed   56      -10254.693          -      -  33.6  480s
 778101  3232  postponed   77      -10254.693          -      -  33.5  485s
 785078  3287 infeasible   64      -10254.693          -      -  33.5  490s
 793587  3223  postponed   50      -10254.693          -      -  33.5  495s
 801871  3097  postponed   58      -10254.693          -      -  33.5  500s
 809959  3035  postponed   61      -10254.693          -      -  33.5  505s
 817870  2975 infeasible   69      -10254.693          -      -  33.5  510s
 825589  2994  postponed   47      -10254.693          -      -  33.5  515s
 832663  2977 infeasible   62      -10254.693          -      -  33.5  520s
 841323  2951  postponed   72      -10254.693          -      -  33.5  525s
 848510  2929  postponed   60      -10254.693          -      -  33.5  530s
 856865  3174  postponed   51      -10254.693          -      -  33.6  535s
 864438  3225 infeasible   76      -10254.693          -      -  33.5  540s
 871769  3279 infeasible   74      -10254.693          -      -  33.5  545s
 880851  3299  postponed   75      -10254.693          -      -  33.5  550s
 888911  3285  postponed   75      -10254.693          -      -  33.4  555s
 898152  3187 infeasible   78      -10254.693          -      -  33.2  560s
 907246  3098  postponed   72      -10254.693          -      -  33.2  565s
 914762  3034 infeasible   64      -10254.693          -      -  33.2  570s
 922980  3025 infeasible   69      -10254.693          -      -  33.1  575s
 930551  3013  postponed   75      -10254.693          -      -  33.1  580s
 937935  3007  postponed   67      -10254.693          -      -  33.1  585s
 946736  3092 infeasible   74      -10254.693          -      -  33.1  590s
 955833  3116  postponed   76      -10254.693          -      -  33.0  595s
 964594  3082  postponed   71      -10254.693          -      -  32.9  600s

Explored 965116 nodes (31724378 simplex iterations) in 600.02 seconds (146.68 work units)
Thread count was 8 (of 8 available processors)

Solution count 1: -10254.7 

Time limit reached
Best objective 9.221237444910e+04, best bound -, gap -

User-callback calls 1933123, time in user-callback 19.86 sec
