
Gurobi 9.5.2 (win64) logging started Tue Mar 28 01:58:05 2023

Set parameter LogFile to value "2023-03-27_20hr-25min-09sec/Nodes40_Arcs65_LocNodes30/Formulation-1Instance-3.log"
Set parameter TimeLimit to value 600
Set parameter IntFeasTol to value 1e-09
Set parameter DualReductions to value 0
Set parameter NonConvex to value 2
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 176 rows, 310 columns and 670 nonzeros
Model fingerprint: 0x314e6775
Model has 30 quadratic objective terms
Model has 105 SOS constraints
Variable types: 280 continuous, 30 integer (30 binary)
Coefficient statistics:
  Matrix range     [1e-02, 2e+02]
  Objective range  [3e+00, 2e+02]
  QObjective range [2e+00, 2e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-01, 3e+03]
Presolve time: 0.00s
Presolved: 237 rows, 342 columns, 824 nonzeros
Presolved model has 105 SOS constraint(s)
Presolved model has 30 bilinear constraint(s)
Variable types: 312 continuous, 30 integer (30 binary)

Root relaxation: unbounded, 160 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 813262  3722 infeasible   74      -12072.822          -      -  24.7  395s
 824247  3646 infeasible   74      -12072.822          -      -  24.6  400s
 836189  3572 infeasible   74      -12072.822          -      -  24.6  405s
 848239  3514  postponed   72      -12072.822          -      -  24.5  410s
 858988  3448 infeasible   74      -12072.822          -      -  24.5  415s
 870776  3445  postponed   73      -12072.822          -      -  24.5  420s
 881619  3369  postponed   73      -12072.822          -      -  24.4  425s
 892213  3330  postponed   67      -12072.822          -      -  24.4  430s
 902745  3232 infeasible   74      -12072.822          -      -  24.4  435s
 912865  3207  postponed   72      -12072.822          -      -  24.5  440s
 924213  3181 infeasible   74      -12072.822          -      -  24.5  445s
 934548  3223  postponed   66      -12072.822          -      -  24.5  450s
 944287  3458  postponed   73      -12072.822          -      -  24.5  455s
 955534  3550 infeasible   74      -12072.822          -      -  24.5  460s
 966275  3581 infeasible   64      -12072.822          -      -  24.5  465s
 977478  3601 infeasible   74      -12072.822          -      -  24.5  470s
 988311  3593 infeasible   74      -12072.822          -      -  24.4  475s
 1000463  3559  postponed   70      -12072.822          -      -  24.4  480s
 1011302  3555 infeasible   67      -12072.822          -      -  24.4  485s
 1023404  3467  postponed   73      -12072.822          -      -  24.4  490s
 1034148  3466  postponed   73      -12072.822          -      -  24.3  495s
 1044756  3529  postponed   70      -12072.822          -      -  24.3  500s
 1055870  3460  postponed   73      -12072.822          -      -  24.3  505s
 1066652  3419  postponed   73      -12072.822          -      -  24.3  510s
 1076241  3435  postponed   73      -12072.822          -      -  24.3  515s
 1088591  3622  postponed   73      -12072.822          -      -  24.3  520s
 1099531  3748  postponed   72      -12072.822          -      -  24.3  525s
 1111307  3818  postponed   68      -12072.822          -      -  24.3  530s
 1122163  3830 infeasible   74      -12072.822          -      -  24.2  535s
 1134391  3773 infeasible   67      -12072.822          -      -  24.2  540s
 1147546  3642 infeasible   74      -12072.822          -      -  24.2  545s
 1159549  3625  postponed   73      -12072.822          -      -  24.2  550s
 1170577  3585  postponed   72      -12072.822          -      -  24.2  555s
 1181378  3524  postponed   71      -12072.822          -      -  24.2  560s
 1192150  3496  postponed   73      -12072.822          -      -  24.1  565s
 1203160  3449 infeasible   74      -12072.822          -      -  24.1  570s
 1214263  3466 infeasible   74      -12072.822          -      -  24.1  575s
 1225240  3425  postponed   72      -12072.822          -      -  24.1  580s
