
Gurobi 9.5.2 (win64) logging started Mon Mar 27 21:58:14 2023

Set parameter LogFile to value "2023-03-27_20hr-25min-09sec/Nodes30_Arcs35_LocNodes22/Formulation-1Instance-4.log"
Set parameter TimeLimit to value 600
Set parameter IntFeasTol to value 1e-09
Set parameter DualReductions to value 0
Set parameter NonConvex to value 2
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 118 rows, 204 columns and 418 nonzeros
Model fingerprint: 0xe320866f
Model has 22 quadratic objective terms
Model has 65 SOS constraints
Variable types: 182 continuous, 22 integer (22 binary)
Coefficient statistics:
  Matrix range     [3e-02, 2e+02]
  Objective range  [3e+00, 2e+02]
  QObjective range [2e+00, 2e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [3e-01, 2e+03]
Presolve removed 1 rows and 1 columns
Presolve time: 0.00s
Presolved: 162 rows, 227 columns, 532 nonzeros
Presolved model has 65 SOS constraint(s)
Presolved model has 22 bilinear constraint(s)
Variable types: 205 continuous, 22 integer (22 binary)

Root relaxation: unbounded, 109 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 1206670  3331  postponed   47      -11183.837          -      -  14.4  390s
 1225194  3353 infeasible   46      -11183.837          -      -  14.4  395s
 1242833  3255 infeasible   48      -11183.837          -      -  14.4  400s
 1258396  3199 infeasible   47      -11183.837          -      -  14.4  405s
 1275191  3187 infeasible   44      -11183.837          -      -  14.4  410s
 1290934  3153  postponed   51      -11183.837          -      -  14.4  415s
 1306536  3209 infeasible   44      -11183.837          -      -  14.4  420s
 1322515  3218 infeasible   48      -11183.837          -      -  14.3  425s
 1338258  3234  postponed   49      -11183.837          -      -  14.3  430s
 1353996  3230  postponed   50      -11183.837          -      -  14.3  435s
 1369451  3070  postponed   47      -11183.837          -      -  14.3  440s
 1384068  3068 infeasible   38      -11183.837          -      -  14.3  445s
 1400202  2990 infeasible   50      -11183.837          -      -  14.3  450s
 1417458  3412  postponed   43      -11183.837          -      -  14.3  455s
 1433347  3843 infeasible   48      -11183.837          -      -  14.3  460s
 1449537  4227 infeasible   50      -11183.837          -      -  14.3  465s
 1465685  4633  postponed   36      -11183.837          -      -  14.3  470s
 1487417  4792  postponed   49      -11183.837          -      -  14.3  475s
 1504599  4830  postponed   46      -11183.837          -      -  14.3  480s
 1520867  4734  postponed   47      -11183.837          -      -  14.3  485s
 1537841  4611 infeasible   49      -11183.837          -      -  14.3  490s
