
Gurobi 9.5.2 (win64) logging started Mon Mar 27 22:33:47 2023

Set parameter LogFile to value "2023-03-27_20hr-25min-09sec/Nodes30_Arcs45_LocNodes22/Formulation-1Instance-3.log"
Set parameter TimeLimit to value 600
Set parameter IntFeasTol to value 1e-09
Set parameter DualReductions to value 0
Set parameter NonConvex to value 2
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 128 rows, 224 columns and 478 nonzeros
Model fingerprint: 0x1455da80
Model has 22 quadratic objective terms
Model has 75 SOS constraints
Variable types: 202 continuous, 22 integer (22 binary)
Coefficient statistics:
  Matrix range     [1e-01, 2e+02]
  Objective range  [3e+00, 2e+02]
  QObjective range [2e+00, 2e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [4e-02, 2e+03]
Presolve removed 1 rows and 4 columns
Presolve time: 0.00s
Presolved: 172 rows, 244 columns, 579 nonzeros
Presolved model has 71 SOS constraint(s)
Presolved model has 22 bilinear constraint(s)
Variable types: 222 continuous, 22 integer (22 binary)

Root relaxation: unbounded, 124 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 991681  3696  postponed   44      -9861.3033          -      -  23.8  380s
 1004776  3689  postponed   51      -9861.3033          -      -  23.8  385s
 1016873  3640 infeasible   53      -9861.3033          -      -  23.8  390s
 1028824  3614 infeasible   48      -9861.3033          -      -  23.8  395s
 1041876  3564 infeasible   53      -9861.3033          -      -  23.8  400s
 1053497  3489 infeasible   47      -9861.3033          -      -  23.8  405s
 1064371  3497  postponed   50      -9861.3033          -      -  23.8  410s
 1076269  3478 infeasible   46      -9861.3033          -      -  23.9  415s
 1088608  3554  postponed   46      -9861.3033          -      -  23.9  420s
 1101446  3609  postponed   44      -9861.3033          -      -  23.9  425s
 1115171  3759  postponed   46      -9861.3033          -      -  23.9  430s
 1130349  3679 infeasible   52      -9861.3033          -      -  23.8  435s
 1144761  3678  postponed   45      -9861.3033          -      -  23.8  440s
 1159964  3462  postponed   52      -9861.3033          -      -  23.8  445s
 1173093  3483 infeasible   53      -9861.3033          -      -  23.8  450s
 1186056  3485  postponed   38      -9861.3033          -      -  23.8  455s
 1199606  3504  postponed   38      -9861.3033          -      -  23.8  460s
 1212465  3414 infeasible   48      -9861.3033          -      -  23.8  465s
 1223952  3408 infeasible   48      -9861.3033          -      -  23.9  470s
 1236170  3480 infeasible   50      -9861.3033          -      -  23.9  475s
 1252171  3574  postponed   46      -9861.3033          -      -  23.8  480s
 1267379  3850  postponed   46      -9861.3033          -      -  23.7  485s
 1283998  3990 infeasible   51      -9861.3033          -      -  23.7  490s
 1299218  3881  postponed   46      -9861.3033          -      -  23.6  495s
 1314484  3896 infeasible   48      -9861.3033          -      -  23.6  500s
 1329782  3778  postponed   49      -9861.3033          -      -  23.5  505s
 1344555  3605  postponed   48      -9861.3033          -      -  23.5  510s
 1361625  3576  postponed   43      -9861.3033          -      -  23.4  515s
 1377185  3545  postponed   43      -9861.3033          -      -  23.4  520s
 1391573  3418  postponed   49      -9861.3033          -      -  23.4  525s
 1405167  3637  postponed   48      -9861.3033          -      -  23.3  530s
 1419816  4008 infeasible   52      -9861.3033          -      -  23.3  535s
 1434039  4244 infeasible   52      -9861.3033          -      -  23.2  540s
 1449200  4383  postponed   48      -9861.3033          -      -  23.2  545s
 1463446  4352 infeasible   49      -9861.3033          -      -  23.2  550s
 1477702  4224  postponed   51      -9861.3033          -      -  23.2  555s
 1492322  4162  postponed   52      -9861.3033          -      -  23.1  560s
 1506006  4071  postponed   52      -9861.3033          -      -  23.2  565s
 1520086  4205 infeasible   48      -9861.3033          -      -  23.2  570s
 1532808  4053  postponed   43      -9861.3033          -      -  23.2  575s
 1545977  3972  postponed   47      -9861.3033          -      -  23.2  580s
 1559761  3886 infeasible   49      -9861.3033          -      -  23.3  585s
 1572384  3879  postponed   51      -9861.3033          -      -  23.2  590s
 1586068  3838  postponed   44      -9861.3033          -      -  23.2  595s
 1600859  3761 infeasible   48      -9861.3033          -      -  23.2  600s

Explored 1602046 nodes (37132275 simplex iterations) in 600.03 seconds (132.78 work units)
Thread count was 8 (of 8 available processors)

Solution count 1: -9861.3 

Time limit reached
Best objective 2.357477043614e+05, best bound -, gap -

User-callback calls 3206155, time in user-callback 31.64 sec
